Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
B_up,9/16/10,15:06:00,12.2,3.7,0.192,3.23
B_up,9/16/10,15:13:30,10.8,7.87,2.98,3.44
B_up,9/16/10,15:15:00,10.8,27,,4.89
B_up,9/16/10,15:16:30,12.9,40.7,,9.75
B_up,9/16/10,15:18:00,12.3,96,,18.45
B_up,9/16/10,15:19:00,12.4,118,,23.51
B_up,9/16/10,15:20:00,13.5,150,,27.79
B_up,9/16/10,15:21:00,14,146,,30.28
B_up,9/16/10,15:21:30,14.5,151,,31.06
B_up,9/16/10,15:22:00,15.1,149,,31.58
B_up,9/16/10,15:22:30,14.7,155,,31.54
B_up,9/16/10,15:23:00,15.3,145,,31.04
B_up,9/16/10,15:25:00,15.7,125,,27.07
B_up,9/16/10,15:26:30,15.6,109,,23.80
B_up,9/16/10,15:28:00,16.4,106,,20.11
B_up,9/16/10,15:30:00,16.6,76.5,,16.29
B_up,9/16/10,15:33:00,17.4,52.5,,12.06
B_up,9/16/10,15:36:10,17.2,46.4,,9.02
B_up,9/16/10,15:39:00,17.7,44.7,,7.25
B_up,9/16/10,15:44:00,18.5,24.3,,5.76
B_up,9/16/10,15:50:00,18,24.8,,4.69
B_up,9/16/10,16:00:00,17.3,10.5,,3.96
