Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl
A_up,6/8/11,14:30:00,10.7,14.4,4.85,0.609
A_up,6/8/11,14:35:00,11.2,8.49,5.13,0.706
A_up,6/8/11,14:42:00,13.4,,6.89,1.06
A_up,6/8/11,14:44:00,42.1,,52.5,5.73
A_up,6/8/11,14:45:00,81.3,,118,13.2
A_up,6/8/11,14:45:15,104,,140,17.9
A_up,6/8/11,14:46:30,117,,218,23.5
A_up,6/8/11,14:47:00,140,,225,24.2
A_up,6/8/11,14:47:30,141,,236,26.5
A_up,6/8/11,14:48:00,153,,253,29.8
A_up,6/8/11,14:49:00,168,,263,30
A_up,6/8/11,14:50:00,162,,268,28.1
A_up,6/8/11,14:50:30,112,,257,24.4
A_up,6/8/11,14:52:30,166,,271,29.7
A_up,6/8/11,14:55:20,149,,235,26.4
A_up,6/8/11,14:58:00,135,,202,23.7
A_up,6/8/11,15:02:30,106,,154,17.8
A_up,6/8/11,15:08:00,79.8,,113,12.9
A_up,6/8/11,9:15:00,52.2,,71,8.04
A_up,6/8/11,15:21:00,42.3,,45.5,5.34
A_up,6/8/11,15:35:00,24.1,,19.4,2.34
