Inj,Date,Time,NO3_N,NH4_N,PO4_P,Cl,cor_no3,cor_p,cl_ug,cor_cl,con_no3,con_amb_no3,tot_no3,con_p,con_amb_p,tot_p,no3_cl,log_no3_cl,diff_no3,kw_no3,sw_no3,p_cl,log_p_cl,diff_p,kw_p,sw_p
A_up,9/20/10,11:15:30,21.8,8.23,2.52,0.18,0.353749999999998,0.08610000000000007,180,40.349999999999994,0.37360109526376883,21.87360109526377,21.83676953848143,0.8232510799256467,3.263251079925647,2.8676458500680706,0.008767038413878514,-4.736756224740653,-0.05459818904115199,-6.066465449016887e-4,1648.4063222713266,0.00213382899628253,-6.149837262264409,-2.2577518216052823,-0.025086131351169803,39.86266299898683
A_up,9/20/10,11:27:00,21.5,12.1,2.8,0.14,0.0537499999999973,0.36609999999999987,140,0.3499999999999943,0.003240653862263122,21.503240653862264,21.501620265878543,0.007140963518561876,2.447140963518562,2.6176315053597543,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A_up,9/20/10,11:32:40,23.4,0,3.01,0.15,1.9537499999999959,0.5760999999999998,150,10.349999999999994,0.09583076421263954,21.59583076421264,22.479822950427693,0.21116849262033308,2.651168492620333,2.824892416143879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A_up,9/20/10,11:35:00,28.3,0,25.9,1.48,6.853749999999998,23.466099999999997,1480,1340.35,12.410315440812703,33.9103154408127,30.978410659280108,27.346829863155904,29.786829863155905,27.775508878429896,0.00511340321557802,-5.275890105133465,-0.5937320694339636,-0.006597022993710707,151.5835250162616,0.017507442086022305,-4.0451292263925325,-0.1530437857334057,-0.0017004865081489524,588.0670003601147
A_up,9/20/10,11:36:00,60.9,0,62.5,4.53,39.45375,60.0661,4530,4390.35,40.65029909767752,62.15029909767752,61.521973432657056,89.57522623919613,92.01522623919612,75.8350291089135,0.008986470326967097,-4.712035129734227,-0.029877094034725715,-3.319677114969524e-4,3012.3411565861893,0.013681392144134294,-4.291718607043333,-0.39963316638420654,-0.004440368515380073,225.20653331729272
A_up,9/20/10,11:37:00,79.9,0,114,6.6,58.45375,111.5661,6600,6460.35,59.81645194020543,81.31645194020544,80.60511466416018,131.80892476326278,134.24892476326278,123.71086218684252,0.009048077890516768,-4.705202931615985,-0.023044895916483732,-2.5605439907204144e-4,3905.420112382634,0.017269358471290255,-4.05882153451466,-0.16673609385553334,-0.0018526232650614815,539.7751495724706
A_up,9/20/10,11:37:30,127,0,194,11.7,105.55375,191.5661,11700,11560.35,107.03740821889741,128.5374082188974,127.76639168341553,235.8629646051661,238.3029646051661,215.01343012333487,0.00913067078418906,-4.696116116735731,-0.013958081036229864,-1.5508978929144293e-4,6447.877739525531,0.016570960221792594,-4.10010349980851,-0.2080180591493832,-0.00231131176832648,432.6547433815285
A_up,9/20/10,11:39:00,191,0,332,17.95,169.55375,329.5661,17950,17810.35,164.90622718788265,186.40622718788265,188.68913427350708,363.38017029377306,365.82017029377306,348.500066768333,NA,NA,NA,NA,NA,0.01850418997942208,-3.989758087167632,-0.09767264650850516,-0.0010852516278722795,921.4452891082763
A_up,9/20/10,11:40:00,250,0,451,24.67,228.55375,448.5661,24670,24530.35,227.1267813433356,248.6267813433356,249.31244520848497,500.4866698501633,502.9266698501633,476.25615807296805,NA,NA,NA,NA,NA,0.018286167951129927,-4.001610354598174,-0.10952491393904751,-0.001216943488211639,821.7308442724415
A_up,9/20/10,11:41:00,285,0,527,28.98,263.55375,524.5661,28980,28840.35,267.0331189043479,288.5331189043479,286.761118158894,588.42253489302675,590.8625348930268,558.0184189510462,0.009138368639770321,-4.695273395248499,-0.013115359548997674,-1.4572621721108527e-4,6862.183203119135,0.018188617683211197,-4.00695928256617,-0.11487384190704297,-0.0012763760211893663,783.4681813186754
